index,utt_transcript_clean,response_transcript_clean,is_ack
231627,"that had been overlooked, another battery.","it'd been overlooked, yeah.",1
128995,red.,red.,1
381626,mosquitos.,"there are many mosquitos in Maine, that's for sure.",0
302422,and I have a fit.,you had a fit.,1
215688,there.,there ya go.,0
2209786,Lara.,Lara.,1
226188,ribbit.,ribbit.,1
207410,round.,that's right the wheels on the school bus go round and round.,1
2087623,no doggies.,no.,1
353660,I'm having a party.,you're having a party.,1
2098144,there.,there.,1
231248,"no you can't, no you can't!","no she can't, no she can't!",0
341500,and and my tooth broke I can grow a new one.,yes when your baby teeth broke break you can grow a new one.,1
529268,the butterfly.,"the butterfly, that's right.",1
149323,the light.,light by light.,0
2082260,want bottle.,you want your bottle.,1
198500,squish.,squish squish squish.,1
371250,Alice Alice.,yes this is Alice.,1
322987,silly hat.,silly head.,1
2082723,have a look at fish.,having a look at the fish.,1
242588,look spreading it out.,you're spreading it out.,1
202754,blow up.,"blow it up, don't put it to your nose.",1
2133573,we don't want the monsters.,unless they're nice monsters like in your book.,0
312787,daddy says that.,"you're right, that's your game with daddy.",0
352743,I'm going to go to the swim club.,"you're going to go to the swim club, wow.",1
