,utterance_id,transcript_raw,response_transcript_raw,is_grammatical,labels,transcript_file,child_name,transcript_clean,response_transcript_clean
10,10,I kiss your hair .,you're kissing my hair ?,False,"auxiliary, other",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I kiss your hair.,you're kissing my hair?
11,11,want a big hug .,you want,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,want a big hug.,you want.
12,12,I want kiss .,you want a big hug and a kiss ?,False,determiner,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I want kiss.,you want a big hug and a kiss?
13,13,I not going in .,you're not going in ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I not going in.,you're not going in?
14,14,just like a big bear .,she's like a big bear ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,just like a big bear.,she's like a big bear?
15,15,a@p hiding Purdie .,you're hiding from Purdie because you're puting the clothes over your eyes .,False,"subject, auxiliary, preposition",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hiding Purdie.,you're hiding from Purdie because you're puting the clothes over your eyes.
16,16,hey a@p tickle .,does it tickle behind your knee ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hey tickle.,does it tickle behind your knee?
17,17,hey a@p tickle .,does that tickle ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hey tickle.,does that tickle?
18,18,want um a@p want that digger .,you want the digger ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,want that digger.,you want the digger?
19,19,lid in Sainsbury .,it's in Sainsbury ?,False,verb,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,lid in Sainsbury.,it's in Sainsbury?
20,20,&is funny .,is it funny ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,funny.,is it funny?
21,21,a@p see a@p flowers .,"you can see what , darling ?",False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,see flowers.,"you can see what, darling?"
22,22,can see flowers .,you can see flowers ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,can see flowers.,you can see flowers?
23,23,upside down .,you're upside down aren't you ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,upside down.,you're upside down aren't you?
24,24,a@p Purditer .,you can see Purditer ?,False,"subject, auxiliary, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,Purditer.,you can see Purditer?
25,25,oh not need breakfast .,you don't need breakfast ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,oh not need breakfast.,you don't need breakfast?
26,26,&sa highchair is not dirty .,I didn't say the highchair was dirty .,False,determiner,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,highchair is not dirty.,I didn't say the highchair was dirty.
27,27,a@p want my fire engine now .,you'd like your fire engine ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,want my fire engine now.,you'd like your fire engine?
28,28,not need not need to eat [=! crying] .,"you do need to eat , Thomas .",False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,not need to eat.,"you do need to eat, Thomas."
29,29,it's you need a@p Krispies .,you think I need the Krispies do you ?,False,determiner,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,it's you need Krispies.,you think I need the Krispies do you?
30,30,is@p taste very nice fire engine .,it tastes very nice .,False,sv_agreement,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,taste very nice fire engine.,it tastes very nice.
31,31,not fit .,will they not fit in his mouth ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,not fit.,will they not fit in his mouth?
32,32,a@p cutting it down .,you're cutting it down ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,cutting it down.,you're cutting it down?
33,33,my wave somebody out the window .,you're waving at somebody out of the window ?,False,"other, auxiliary, other, preposition",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,my wave somebody out the window.,you're waving at somebody out of the window?
34,34,I wanted it .,you want it ?,False,past,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I wanted it.,you want it?
35,35,I think I stuck in the mud .,you think you're stuck in the mud ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I think I stuck in the mud.,you think you're stuck in the mud?
36,36,delicious fireman .,"it's delias , fireman ?",False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,delicious fireman.,"it's delias, fireman?"
37,37,not a@p not mean okey cokey .,what did you say about the hokey cokey ?,False,other,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,not mean okey cokey.,what did you say about the hokey cokey?
38,38,I@p not eat very sweets .,you don't eat very sweet ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,not eat very sweets.,you don't eat very sweet?
39,39,not like a@p sweets .,you don't like sweets ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,not like sweets.,you don't like sweets?
40,40,um poopoops .,what's poopoops ?,False,other,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,poopoops.,what's poopoops?
41,41,train poopoops .,oh the train says poop poop .,False,"determiner, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,train poopoops.,oh the train says poop.
42,42,&am Doodles .,you want Doodles ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,Doodles.,you want Doodles?
43,43,I@p my got Doodles .,you've not got,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,my got Doodles.,you've not got.
44,44,a@p &na hair spoon .,you heard a spoon ?,False,"subject, determiner",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hair spoon.,you heard a spoon?
45,45,where Thomas spoon ?,where's Thomas's spoon ?,False,"verb, possessive",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,where Thomas spoon?,where's Thomas's spoon?
46,46,throw rubbish bags all over the place .,you're doing what all over the place ?,False,"subject, other",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,throw rubbish bags all over the place.,you're doing what all over the place?
47,47,[=! babble] smell honey .,you can smell honey ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,smell honey.,you can smell honey?
48,48,I not think so .,you don't think so ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I not think so.,you don't think so?
49,49,I not think so .,you don't think you'd like it ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I not think so.,you don't think you'd like it?
50,50,a@p Rice Krispie up .,you're lifting the Rice Krispie up ?,False,"subject, verb, determiner",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,Rice Krispie up.,you're lifting the Rice Krispie up?
51,51,I done it .,you've done it have you ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I done it.,you've done it have you?
52,52,a@p can't .,you can't ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,can't.,you can't?
53,53,I'm drop a@p jingle bells .,you dropped jingle bells ?,False,"auxiliary, past",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I'm drop jingle bells.,you dropped jingle bells?
54,54,a@p lights going off .,the lights are going off ?,False,"determiner, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,lights going off.,the lights are going off?
55,55,go sleep Mummy .,you're going to sleep ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,go sleep Mummy.,you're going to sleep?
56,56,hold it .,you'd like to hold it ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hold it.,you'd like to hold it?
57,57,want to hold .,you want to hold it ?,False,"subject, object",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,want to hold.,you want to hold it?
58,58,I@p hold them .,you can't hold them .,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hold them.,you can't hold them.
59,59,a ladder .,he can't use a ladder .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,a ladder.,he can't use a ladder.
60,60,a ladder .,he'll be up the ladder .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,a ladder.,he'll be up the ladder.
61,61,a@p something to drink .,that is something to drink .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,something to drink.,that is something to drink.
62,62,no a@p hiding it .,you're hiding it .,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,no hiding it.,you're hiding it.
63,63,no a@p hiding it .,oh you're hiding from me now aren't you ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,no hiding it.,oh you're hiding from me now aren't you?
64,64,going home now .,"who's going home , darling ?",False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,going home now.,"who's going home, darling?"
65,65,puting in that slot .,you're puting it in that slot ?,False,"subject, object",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,puting in that slot.,you're puting it in that slot?
66,66,dirty one .,that's not a dirty one .,False,"subject, verb, determiner",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,dirty one.,that's not a dirty one.
67,67,diging up potatoes .,you're diging up potatoes ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,diging up potatoes.,you're diging up potatoes?
68,0,I don't want you sit down .,oh I need to sit somewhere .,False,preposition,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,I don't want you sit down.,oh I need to sit somewhere.
69,1,this is,that's my &ow my card is it ?,False,object,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,this is.,that's my card is it?
70,2,that it doesn't charge lots uhm of money xxx .,what do you mean it doesn't charge lots of money ?,True,,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,that it doesn't charge lots of money.,what do you mean it doesn't charge lots of money?
71,3,a bank card .,it is a bank card .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,a bank card.,it is a bank card.
72,4,I am can hear .,"I can hear something I'm just trying to ignore it , Thomas .",False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,I am can hear.,"I can hear something I'm just trying to ignore it, Thomas."
73,5,all of the scary monsters kill you .,all of the scary monsters to kill me ?,False,preposition,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,all of the scary monsters kill you.,all of the scary monsters to kill me?
74,6,bigger than smaller ones .,they're bigger than smaller ones .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,bigger than smaller ones.,they're bigger than smaller ones.
75,7,you don't .,I didn't help you did I ?,False,verb,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,you don't.,I didn't help you did I?
76,8,that's why you've got lots of xxx .,why what ?,False,object,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,that's why you've got lots of.,why what?
77,9,smelly socks .,they're not smelly socks they're freshly washed clean socks that are folded up and ready to go upstairs when I go upstairs .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,smelly socks.,they're not smelly socks they're freshly washed clean socks that are folded up and ready to go upstairs when I go upstairs.
78,10,and then I knocked the head off right over the fence .,you knocked the head right over the fence ?,False,preposition,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,and then I knocked the head off right over the fence.,you knocked the head right over the fence?
79,11,I see a Tiddles .,Tiddles what their cat ?,True,,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,I see a Tiddles.,Tiddles what their cat?
80,12,I've seen xxx crossings .,you've seen zebra crossings or level crossings ?,False,other,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,I've seen crossings.,you've seen zebra crossings or level crossings?
81,13,don't you dare .,don't I dare what ?,True,,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,don't you dare.,don't I dare what?
82,0,xxx can shut again .,it's shut again ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,can shut again.,it's shut again?
83,1,how you take that off ?,you don't .,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,how you take that off?,you don't.
84,2,um just a page .,you're looking at the page ?,False,"subject, verb, preposition",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,just a page.,you're looking at the page?
85,3,blue and green .,it's green isn't it ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,blue and green.,it's green isn't it?
86,4,and &bla and blue .,is it blue ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,and blue.,is it blue?
87,5,don't know .,oh I don't know either .,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,don't know.,oh I don't know either.
88,6,don't want to .,you don't want to ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,don't want to.,you don't want to?
89,7,want trim some more .,you want me to do some more weeds ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,want trim some more.,you want me to do some more weeds?
90,8,good idea .,is that a good idea ?,False,"subject, verb, determiner",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,good idea.,is that a good idea?
91,9,&sa more like it .,is that more like it ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,more like it.,is that more like it?
92,10,oy cutting grass .,you're cutting the grass again ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,cutting grass.,you're cutting the grass again?
93,11,no that bear has have enough .,the bear has had enough ?,False,past,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,no that bear has have enough.,the bear has had enough?
94,12,the bear needs want get on the swing .,Bethany wants to get on the swing ?,False,sv_agreement,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,the bear needs want get on the swing.,Bethany wants to get on the swing?
95,13,a@p Beth say waawaa .,Bethany said waawaa ?,False,past,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,Beth say waawaa.,Bethany said waawaa?
96,14,because bear say bang .,the bear shouldn't say bang .,False,determiner,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,because bear say bang.,the bear shouldn't say bang.
97,15,those is wants to be cut .,what wants to be cut ?,False,other,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,those is wants to be cut.,what wants to be cut?
98,16,Jess say no .,is Jess saying no ?,False,"auxiliary, present_progressive",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,Jess say no.,is Jess saying no?
99,17,and now it's time to pussy cat .,is it now time to do something with the pussy cat ?,False,"verb, preposition",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,and now it's time to pussy cat.,is it now time to do something with the pussy cat?
100,18,fire station .,the fire station ?,False,determiner,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,fire station.,the fire station?
101,19,I fire engine .,you're a fire engine ?,False,"verb, determiner",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,I fire engine.,you're a fire engine?
102,20,a fire engine knocked all the all the signs off .,who has knocked all the signs off ?,True,,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,a fire engine knocked all the signs off.,who has knocked all the signs off?
103,21,you scared about it .,you're scared ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,you scared about it.,you're scared?
104,22,want a sweetie cheer my up .,you want a sweetie to cheer my up ?,False,"subject, preposition",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,want a sweetie cheer my up.,you want a sweetie to cheer my up?
105,23,I follow you .,you're following me ?,False,"auxiliary, present_progressive",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,I follow you.,you're following me?
106,24,you're good to sharing .,I'm good at sharing ?,False,preposition,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,you're good to sharing.,I'm good at sharing?
107,25,sleep indoors .,who's sleeping indoors ?,False,"subject, auxiliary, present_progressive",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,sleep indoors.,who's sleeping indoors?
108,26,I be scared .,would you be scared ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,I be scared.,would you be scared?
109,27,I shout somebody pick me up and put me indoors .,you'd shout somebody pick me up and put me indoors .,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,I shout somebody pick me up and put me indoors.,you'd shout somebody pick me up and put me indoors.
110,28,cars is driving home .,the car will drive them home .,False,"determiner, plural",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,cars is driving home.,the car will drive them home.
111,29,of orange juice .,the dog's having a drink of orange juice ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,of orange juice.,the dog's having a drink of orange juice?
112,30,some other orange juice .,has he got some more orange juice ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,some other orange juice.,has he got some more orange juice?
113,31,a dog biscuit .,the dog has got dog biscuits .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,a dog biscuit.,the dog has got dog biscuits.
114,32,don't know .,you don't know ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,don't know.,you don't know?
115,33,a@p throwing water everywhere .,I think he's throwing water everywhere .,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,throwing water everywhere.,I think he's throwing water everywhere.
116,34,a@p throwing water everywhere .,because you throw water everywhere don't you ?,False,subject,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,throwing water everywhere.,because you throw water everywhere don't you?
117,0,he dump all the chips out .,you want to dump all the chips out .,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,he dump all the chips out.,you want to dump all the chips out.
118,1,little stars .,are the prawn crackers like stars ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,little stars.,are the prawn crackers like stars?
119,2,nice and warm .,they are nice and warm .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,nice and warm.,they are nice and warm.
120,3,sun shining .,oh the sun does keep shining .,False,"determiner, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,sun shining.,oh the sun does keep shining.
121,4,what you doing round here ?,what are you doing round here ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,what you doing round here?,what are you doing round here?
122,5,sit now .,Is's sitting in the window .,False,"subject, present_progressive",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,sit now.,Is's sitting in the window.
123,6,looking the dustbin wagon .,is she looking for the dustbin wagon ?,False,"subject, auxiliary, preposition",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,looking the dustbin wagon.,is she looking for the dustbin wagon?
124,7,more please .,more chips please .,False,object,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,more please.,more chips please.
125,8,a good boy .,he'd say you were a good boy .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,a good boy.,he'd say you were a good boy.
126,9,been doing xxx .,been doing what ?,False,object,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,been doing.,been doing what?
127,10,xxx Purdie .,you did what to Purdie ?,False,"subject, verb, preposition",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,Purdie.,you did what to Purdie?
128,11,where Mummy gone ?,oh Mummy had gone to work hadn't she ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,where Mummy gone?,oh Mummy had gone to work hadn't she?
129,12,where Mummy gone ?,did you ask them where Mummy had gone ?,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,where Mummy gone?,did you ask them where Mummy had gone?
130,13,&m piece piece of paper off .,a piece of paper off .,False,determiner,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,piece of paper off.,a piece of paper off.
131,14,xxx off sausage .,you'd like me to take the sausage off for you .,False,"verb, determiner",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,off sausage.,you'd like me to take the sausage off for you.
132,15,elephant tidying up .,elephant's tidying up .,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,elephant tidying up.,elephant's tidying up.
133,16,no tail .,has it not got a tail now ?,False,"subject, verb, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,no tail.,has it not got a tail now?
134,17,go asleep .,is it going to sleep ?,False,"subject, auxiliary, present_progressive, preposition",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,go asleep.,is it going to sleep?
135,18,pink and blue .,we were watching the pink and blue sky the other day weren't we ?,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,pink and blue.,we were watching the pink and blue sky the other day weren't we?
136,19,a little girl .,you weren't a little girl .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,a little girl.,you weren't a little girl.
